Datetime,Close
01-03-2021 12:05,26
01-03-2021 12:05,38
01-03-2021 12:06,31
01-03-2021 12:06,35161
01-03-2021 12:06,146
01-03-2021 12:06,629
01-03-2021 12:06,359
01-03-2021 12:06,69
01-03-2021 12:06,1338
01-03-2021 12:06,687
01-03-2021 12:06,119
01-03-2021 12:06,412
01-03-2021 12:06,1227
01-03-2021 12:06,628
01-03-2021 12:06,126
01-03-2021 12:06,12
01-03-2021 12:06,393
01-03-2021 12:06,20
01-03-2021 12:06,142
01-03-2021 12:06,200
01-03-2021 12:06,885
01-03-2021 12:06,132
01-03-2021 12:06,1215
01-03-2021 12:06,296
01-03-2021 12:06,10
01-03-2021 12:06,11
01-03-2021 12:06,448
01-03-2021 12:06,1283
01-03-2021 12:06,9
01-03-2021 12:06,7
01-03-2021 12:06,938
01-03-2021 12:06,1076
01-03-2021 12:06,38
01-03-2021 12:06,32
01-03-2021 12:06,270
01-03-2021 12:06,749
01-03-2021 12:06,45
01-03-2021 12:06,966
01-03-2021 12:06,788
01-03-2021 12:06,715
01-03-2021 12:06,217
01-03-2021 12:06,1111
01-03-2021 12:06,206
01-03-2021 12:06,35313
01-03-2021 12:06,21
01-03-2021 12:06,639
01-03-2021 12:06,596
01-03-2021 12:06,668
01-03-2021 12:06,244
01-03-2021 12:06,62
01-03-2021 12:06,234
01-03-2021 12:06,298
01-03-2021 12:06,15
01-03-2021 12:06,326
01-03-2021 12:06,184
01-03-2021 12:06,200
01-03-2021 12:06,8
01-03-2021 12:06,95
01-03-2021 12:06,1355
01-03-2021 12:06,487
01-03-2021 12:06,1098
01-03-2021 12:06,46
01-03-2021 12:06,16
01-03-2021 12:06,99
01-03-2021 12:06,781
01-03-2021 12:06,223
01-03-2021 12:06,661
01-03-2021 12:06,486
01-03-2021 12:06,358
01-03-2021 12:06,25
01-03-2021 12:06,56
01-03-2021 12:06,25
01-03-2021 12:06,143
01-03-2021 12:06,684
01-03-2021 12:06,22
01-03-2021 12:06,112
01-03-2021 12:06,1044
01-03-2021 12:06,571
01-03-2021 12:06,487
01-03-2021 12:06,1585
01-03-2021 12:06,888
01-03-2021 12:06,6
01-03-2021 12:06,623
01-03-2021 12:06,401
01-03-2021 12:06,941
01-03-2021 12:06,34
01-03-2021 12:06,32
01-03-2021 12:06,471
01-03-2021 12:06,701
01-03-2021 12:06,30
01-03-2021 12:06,299
01-03-2021 12:06,5
01-03-2021 12:06,1400
01-03-2021 12:06,109
01-03-2021 12:06,1299
01-03-2021 12:06,41
01-03-2021 12:06,12
01-03-2021 12:06,87
01-03-2021 12:06,608
01-03-2021 12:06,24
01-03-2021 12:06,927
01-03-2021 12:06,585
01-03-2021 12:06,861
01-03-2021 12:06,586
01-03-2021 12:06,19
01-03-2021 12:06,36
01-03-2021 12:06,232
01-03-2021 12:06,60
01-03-2021 12:06,23
01-03-2021 12:06,35
01-03-2021 12:06,1210
01-03-2021 12:06,9
01-03-2021 12:06,18
01-03-2021 12:06,8
01-03-2021 12:06,853
01-03-2021 12:06,296
01-03-2021 12:06,222
01-03-2021 12:06,833
01-03-2021 12:06,373
01-03-2021 12:06,64
01-03-2021 12:06,261
01-03-2021 12:06,963
01-03-2021 12:06,712
01-03-2021 12:06,817
01-03-2021 12:06,523
01-03-2021 12:06,825
01-03-2021 12:06,901
01-03-2021 12:06,559
01-03-2021 12:06,1044
01-03-2021 12:06,442
01-03-2021 12:06,28
01-03-2021 12:06,1250
01-03-2021 12:06,1900
01-03-2021 12:06,17
01-03-2021 12:06,146
01-03-2021 12:06,96
01-03-2021 12:06,784
01-03-2021 12:06,783
01-03-2021 12:06,35275
01-03-2021 12:06,26
01-03-2021 12:06,207
01-03-2021 12:06,38
01-03-2021 12:06,127
01-03-2021 12:06,1327
01-03-2021 12:06,512
01-03-2021 12:06,305
01-03-2021 12:06,77
01-03-2021 12:06,19
01-03-2021 12:06,86
01-03-2021 12:06,146
01-03-2021 12:06,361
01-03-2021 12:06,9
01-03-2021 12:06,556
01-03-2021 12:06,1329
01-03-2021 12:06,9
01-03-2021 12:06,184
01-03-2021 12:06,1218
01-03-2021 12:06,23
01-03-2021 12:06,107
01-03-2021 12:06,13
01-03-2021 12:06,162
01-03-2021 12:06,13
01-03-2021 12:06,180
01-03-2021 12:06,475
01-03-2021 12:06,898
01-03-2021 12:06,899
01-03-2021 12:06,470
01-03-2021 12:06,224
01-03-2021 12:06,392
01-03-2021 12:06,420
01-03-2021 12:06,42
01-03-2021 12:06,929
01-03-2021 12:06,71
01-03-2021 12:06,408
01-03-2021 12:06,536
01-03-2021 12:06,68
01-03-2021 12:06,21
01-03-2021 12:06,292
01-03-2021 12:06,431
01-03-2021 12:06,835
01-03-2021 12:06,552
01-03-2021 12:06,77
01-03-2021 12:06,53
01-03-2021 12:06,102
01-03-2021 12:06,702
01-03-2021 12:06,1155
01-03-2021 12:06,51
01-03-2021 12:06,420
01-03-2021 12:06,887
01-03-2021 12:06,163
01-03-2021 12:06,10
01-03-2021 12:06,717
01-03-2021 12:06,980
01-03-2021 12:06,460
01-03-2021 12:06,28
01-03-2021 12:06,14
01-03-2021 12:06,757
01-03-2021 12:06,16
01-03-2021 12:06,561
01-03-2021 12:06,497
01-03-2021 12:06,1031
01-03-2021 12:06,394
01-03-2021 12:06,1120
01-03-2021 12:06,1054
01-03-2021 12:06,1181
01-03-2021 12:06,8
01-03-2021 12:06,47
